parent_table,parent_column,referenced_table,referenced_column
Address,StateProvinceID,StateProvince,StateProvinceID
BillOfMaterials,ComponentID,Product,ProductID
BillOfMaterials,ProductAssemblyID,Product,ProductID
BillOfMaterials,UnitMeasureCode,UnitMeasure,UnitMeasureCode
BusinessEntityAddress,AddressID,Address,AddressID
BusinessEntityAddress,AddressTypeID,AddressType,AddressTypeID
BusinessEntityAddress,BusinessEntityID,BusinessEntity,BusinessEntityID
BusinessEntityContact,BusinessEntityID,BusinessEntity,BusinessEntityID
BusinessEntityContact,ContactTypeID,ContactType,ContactTypeID
BusinessEntityContact,PersonID,Person,BusinessEntityID
CountryRegionCurrency,CountryRegionCode,CountryRegion,CountryRegionCode
CountryRegionCurrency,CurrencyCode,Currency,CurrencyCode
CurrencyRate,FromCurrencyCode,Currency,CurrencyCode
CurrencyRate,ToCurrencyCode,Currency,CurrencyCode
Customer,PersonID,Person,BusinessEntityID
Customer,StoreID,Store,BusinessEntityID
Customer,TerritoryID,SalesTerritory,TerritoryID
Document,Owner,Employee,BusinessEntityID
EmailAddress,BusinessEntityID,Person,BusinessEntityID
Employee,BusinessEntityID,Person,BusinessEntityID
EmployeeDepartmentHistory,BusinessEntityID,Employee,BusinessEntityID
EmployeeDepartmentHistory,DepartmentID,Department,DepartmentID
EmployeeDepartmentHistory,ShiftID,Shift,ShiftID
EmployeePayHistory,BusinessEntityID,Employee,BusinessEntityID
JobCandidate,BusinessEntityID,Employee,BusinessEntityID
Password,BusinessEntityID,Person,BusinessEntityID
Person,BusinessEntityID,BusinessEntity,BusinessEntityID
PersonCreditCard,BusinessEntityID,Person,BusinessEntityID
PersonCreditCard,CreditCardID,CreditCard,CreditCardID
PersonPhone,BusinessEntityID,Person,BusinessEntityID
PersonPhone,PhoneNumberTypeID,PhoneNumberType,PhoneNumberTypeID
Product,ProductModelID,ProductModel,ProductModelID
Product,ProductSubcategoryID,ProductSubcategory,ProductSubcategoryID
Product,SizeUnitMeasureCode,UnitMeasure,UnitMeasureCode
Product,WeightUnitMeasureCode,UnitMeasure,UnitMeasureCode
ProductCostHistory,ProductID,Product,ProductID
ProductDocument,DocumentNode,Document,DocumentNode
ProductDocument,ProductID,Product,ProductID
ProductInventory,LocationID,Location,LocationID
ProductInventory,ProductID,Product,ProductID
ProductListPriceHistory,ProductID,Product,ProductID
ProductModelIllustration,IllustrationID,Illustration,IllustrationID
ProductModelIllustration,ProductModelID,ProductModel,ProductModelID
ProductModelProductDescriptionCulture,CultureID,Culture,CultureID
ProductModelProductDescriptionCulture,ProductDescriptionID,ProductDescription,ProductDescriptionID
ProductModelProductDescriptionCulture,ProductModelID,ProductModel,ProductModelID
ProductProductPhoto,ProductID,Product,ProductID
ProductProductPhoto,ProductPhotoID,ProductPhoto,ProductPhotoID
ProductReview,ProductID,Product,ProductID
ProductSubcategory,ProductCategoryID,ProductCategory,ProductCategoryID
ProductVendor,BusinessEntityID,Vendor,BusinessEntityID
ProductVendor,ProductID,Product,ProductID
ProductVendor,UnitMeasureCode,UnitMeasure,UnitMeasureCode
PurchaseOrderDetail,ProductID,Product,ProductID
PurchaseOrderDetail,PurchaseOrderID,PurchaseOrderHeader,PurchaseOrderID
PurchaseOrderHeader,EmployeeID,Employee,BusinessEntityID
PurchaseOrderHeader,ShipMethodID,ShipMethod,ShipMethodID
PurchaseOrderHeader,VendorID,Vendor,BusinessEntityID
SalesOrderDetail,ProductID,SpecialOfferProduct,ProductID
SalesOrderDetail,SalesOrderID,SalesOrderHeader,SalesOrderID
SalesOrderDetail,SpecialOfferID,SpecialOfferProduct,SpecialOfferID
SalesOrderHeader,BillToAddressID,Address,AddressID
SalesOrderHeader,CreditCardID,CreditCard,CreditCardID
SalesOrderHeader,CurrencyRateID,CurrencyRate,CurrencyRateID
SalesOrderHeader,CustomerID,Customer,CustomerID
SalesOrderHeader,SalesPersonID,SalesPerson,BusinessEntityID
SalesOrderHeader,ShipMethodID,ShipMethod,ShipMethodID
SalesOrderHeader,ShipToAddressID,Address,AddressID
SalesOrderHeader,TerritoryID,SalesTerritory,TerritoryID
SalesOrderHeaderSalesReason,SalesOrderID,SalesOrderHeader,SalesOrderID
SalesOrderHeaderSalesReason,SalesReasonID,SalesReason,SalesReasonID
SalesPerson,BusinessEntityID,Employee,BusinessEntityID
SalesPerson,TerritoryID,SalesTerritory,TerritoryID
SalesPersonQuotaHistory,BusinessEntityID,SalesPerson,BusinessEntityID
SalesTaxRate,StateProvinceID,StateProvince,StateProvinceID
SalesTerritory,CountryRegionCode,CountryRegion,CountryRegionCode
SalesTerritoryHistory,BusinessEntityID,SalesPerson,BusinessEntityID
SalesTerritoryHistory,TerritoryID,SalesTerritory,TerritoryID
ShoppingCartItem,ProductID,Product,ProductID
SpecialOfferProduct,ProductID,Product,ProductID
SpecialOfferProduct,SpecialOfferID,SpecialOffer,SpecialOfferID
StateProvince,CountryRegionCode,CountryRegion,CountryRegionCode
StateProvince,TerritoryID,SalesTerritory,TerritoryID
Store,BusinessEntityID,BusinessEntity,BusinessEntityID
Store,SalesPersonID,SalesPerson,BusinessEntityID
TransactionHistory,ProductID,Product,ProductID
Vendor,BusinessEntityID,BusinessEntity,BusinessEntityID
WorkOrder,ProductID,Product,ProductID
WorkOrder,ScrapReasonID,ScrapReason,ScrapReasonID
WorkOrderRouting,LocationID,Location,LocationID
WorkOrderRouting,WorkOrderID,WorkOrder,WorkOrderID
